id,name,glottocode,iso639_3,macroarea,latitude,longitude,family
1015,Vunapu,vuna1239,vnp,Papunesia,-14.8477,166.691,Austronesian
1016,"Ambrym, North (Ranon)",nort2839,mmg,Papunesia,-16.1741,168.14,Austronesian
1017,Mwerlap (Merig),mwer1250,mrm,Papunesia,,,Austronesian
1018,Uripiv-Wala-Rano-Atchin (Rano),urip1239,upv,Papunesia,-16.00951,167.34643,Austronesian
1019,Lakona,lako1245,lkn,Papunesia,-14.29899,167.429382,Austronesian
1020,Malo (South),malo1243,mla,Papunesia,-15.6835,167.16,Austronesian
1021,"Ambrym, Southeast (Maat)",mele1255,tvk,Papunesia,,,Austronesian
1022,Bierebo (Burupika),bier1244,bnk,Papunesia,-16.6663,168.154,Austronesian
1023,Akei,akei1237,tsr,Papunesia,-15.6377,166.767,Austronesian
1024,Morouas (Batunlamak),moro1286,mrp,Papunesia,-15.3498,166.891,Austronesian
1025,Dixon Reef,dixo1238,dix,Papunesia,-16.3267,167.516,Austronesian
1026,Lonwolwol,lonw1238,crc,Papunesia,-16.2286,168.016,Austronesian
1027,Tangoa,tang1347,tgp,Papunesia,-15.5643,166.958,Austronesian
1028,Kwamera (Isiai),kwam1252,tnk,Papunesia,-19.5954,169.442,Austronesian
1029,Neve'ei,vinm1237,vnm,Papunesia,-16.2253,167.427,Austronesian
1030,Emae (Makatea),emae1237,mmw,Papunesia,-17.052,168.399,Austronesian
1031,Bieria (Vowa),bier1246,brj,Papunesia,-16.7867,168.232,Austronesian
1032,Koro,koro1308,krf,Papunesia,-14.2943,167.467,Austronesian
1033,Baki,baki1244,bki,Papunesia,-16.7096,168.165,Austronesian
1034,Larevat,lare1249,lrv,Papunesia,-16.1971,167.387,Austronesian
1035,Axamb (Maxbaxo),axam1237,ahb,Papunesia,-16.4838,167.707,Austronesian
1036,Piamatsina,piam1242,ptr,Papunesia,-14.9959,166.738,Austronesian
1037,Seke,seke1241,ske,Papunesia,-15.8839,168.197,Austronesian
1038,Daakaka (Baiap),daka1243,bpa,Papunesia,-16.2696,168.013,Austronesian
1039,Ikiti,sout2869,nwi,Papunesia,-19.57953,169.35603,Austronesian
1040,Namakura (Makura),maku1276,nmk,Papunesia,,,Austronesian
1041,Bierebo (Bonkovia),bier1244,bnk,Papunesia,-16.6663,168.154,Austronesian
1042,Amblong,ambl1237,alm,Papunesia,-15.5169,166.95,Austronesian
1043,Ikiyau,sout2869,nwi,Papunesia,-19.57953,169.35603,Austronesian
1044,Lamenu (Nuvi),lame1260,lmu,Papunesia,-16.6098,168.171,Austronesian
1045,Mae (Orap),maee1241,mme,Papunesia,-15.9914,167.288,Austronesian
1046,Lenakel,lena1238,tnl,Papunesia,-19.4763,169.261,Austronesian
1047,Labo (Ninde),labo1244,mwi,Papunesia,-16.4291,167.442,Austronesian
1048,Malo (North),malo1243,mla,Papunesia,-15.6835,167.16,Austronesian
1049,Lorediakarkar,lore1244,lnn,Papunesia,-15.334763,167.166325,Austronesian
1050,"Ambae, East (Lolsiwoi)",east2443,omb,Papunesia,-15.3523,167.89,Austronesian
1051,Labo (Windua),labo1244,mwi,Papunesia,-16.4291,167.442,Austronesian
1052,Maragus,mara1399,mrs,Papunesia,-16.0695,167.33,Austronesian
1053,Litzlitz,litz1237,lzl,Papunesia,-16.1331,167.415,Austronesian
1054,Uripiv-Wala-Rano-Atchin (Tautu),urip1239,upv,Papunesia,-16.00951,167.34643,Austronesian
1055,Mele,mele1251,mxe,Papunesia,,,Austronesian
1056,Narango (Nambel),nara1263,nrg,Papunesia,-15.5259,167.047,Austronesian
1057,Dixon Reef,dixo1238,dix,Papunesia,-16.3267,167.516,Austronesian
1058,Hiw,hiww1237,hiw,Papunesia,-13.126367,166.584857,Austronesian
1059,Paama (Faulili),paam1238,pma,Papunesia,-16.47548,168.23693,Austronesian
1060,Lamenu (Nikaura),lame1260,lmu,Papunesia,-16.6098,168.171,Austronesian
1061,Nahavaq (Lembinwen),sout2857,sns,Papunesia,-16.5116,167.477,Austronesian
1062,Repanbitipmbangir,repa1237,rpn,Papunesia,-16.3265,167.619,Austronesian
1063,Lenakel (Lenaukas),lena1238,tnl,Papunesia,-19.4763,169.261,Austronesian
1064,Shark Bay,shar1244,ssv,Papunesia,-15.255284,167.138859,Austronesian
1065,Vurës (Mosina),vure1239,msn,Papunesia,-13.905677,167.451412,Austronesian
1066,Unua,unua1237,onu,Papunesia,-16.2638,167.599,Austronesian
1067,Baetora (Nasawa),nasa1241,btr,Papunesia,,,Austronesian
1068,Aore,aore1237,aor,Papunesia,-15.5753,167.166,Austronesian
1069,Uripiv-Wala-Rano-Atchin (Uri),urip1239,upv,Papunesia,-16.00951,167.34643,Austronesian
1070,Baetora,baet1237,btr,Papunesia,-15.2574,168.159,Austronesian
1071,Vovo,vovo1238,,Papunesia,-15.89842,167.20213,Austronesian
1072,Wusi (Valui),wusi1237,wsi,Papunesia,-15.2786,166.696,Austronesian
1073,Daakaka (Sesivi),sesi1237,bpa,Papunesia,,,Austronesian
1074,Namakura (Mataso),mata1250,nmk,Papunesia,,,Austronesian
1075,Maii,maii1238,mmm,Papunesia,-16.7388,168.211,Austronesian
1076,"Efate, North (Siviri)",nort2836,llp,Papunesia,-17.5774,168.375,Austronesian
1077,Vera'a (Vatrata),vera1241,vra,Papunesia,-13.892528,167.428701,Austronesian
1078,"Efate, North (Pwele)",nort2836,llp,Papunesia,-17.5774,168.375,Austronesian
1079,Akei (Tasiriki),akei1237,tsr,Papunesia,-15.6377,166.767,Austronesian
1080,"Maewo, Central (Peterara)",cent2058,mwo,Papunesia,-15.0784,168.135,Austronesian
1081,Banam Bay (Vartavo),burm1263,vrt,Papunesia,-16.41653,167.73124,Austronesian
1082,Kwamera (Yatukwey),kwam1252,tnk,Papunesia,-19.5954,169.442,Austronesian
1083,"Tanna, North",nort2847,tnn,Papunesia,-19.3733,169.303,Austronesian
1084,Tambotalo,tamb1253,tls,Papunesia,-15.5004,167.139,Austronesian
1085,Port Sandwich,port1285,psw,Papunesia,-16.4952,167.78,Austronesian
1086,Marino,mari1426,mrb,Papunesia,-14.970047,168.057941,Austronesian
1087,Timbembe,katb1237,tmb,Papunesia,-16.2701,167.484,Austronesian
1088,Eton,eton1255,etn,Papunesia,-17.74,168.549,Austronesian
1089,Baetora (Tam),baet1237,btr,Papunesia,-15.2574,168.159,Austronesian
1090,Lamenu (Mapremo),lame1260,lmu,Papunesia,-16.6098,168.171,Austronesian
1091,Namakura (Tongariki),tong1322,nmk,Papunesia,,,Austronesian
1092,Mota,mota1237,mtt,Papunesia,-13.835361,167.690924,Austronesian
1093,Aulua,aulu1238,aul,Papunesia,-16.3579,167.697,Austronesian
1094,Axamb (Avok),avok1244,,Papunesia,-16.536653,167.773866,Austronesian
1095,Whitesands (Loniel),whit1269,tnp,Papunesia,-19.5019,169.381,Austronesian
1096,Malua Bay,malu1245,mll,Papunesia,-15.9813,167.208,Austronesian
1097,Lelepa,lele1267,lpa,Papunesia,-17.6042,168.202,Austronesian
1098,"Efate, North (Woraviu)",nort2836,llp,Papunesia,-17.5774,168.375,Austronesian
1099,Letemboi,lete1241,nms,Papunesia,-16.4339,167.566,Austronesian
1100,Butmas-Tur (Butmas),butm1237,bnr,Papunesia,-15.3353,167.034,Austronesian
1101,Morouas,moro1286,mrp,Papunesia,-15.3498,166.891,Austronesian
1102,Naha'ai,malf1237,mlx,Papunesia,-16.5499,167.509,Austronesian
1103,Lamenu (Nul),lewo1242,lww,Papunesia,-16.7612,168.334,Austronesian
1104,Vurës (Vetumboso),vetu1237,msn,Papunesia,,,Austronesian
1105,Uripiv-Wala-Rano-Atchin (Atchin),urip1239,upv,Papunesia,-16.00951,167.34643,Austronesian
1106,Lelepa (Pango),lele1267,lpa,Papunesia,-17.6042,168.202,Austronesian
1107,Lamenu,lame1260,lmu,Papunesia,-16.6098,168.171,Austronesian
1108,Tasmate,tasm1246,tmt,Papunesia,-15.0792,166.664,Austronesian
1109,Katbol,katb1237,tmb,Papunesia,-16.2701,167.484,Austronesian
1110,"Efate, South (Eratap)",sout2856,erk,Papunesia,-17.7006,168.377,Austronesian
1111,Mwerlap (Merlav),merl1237,mrm,Papunesia,-14.450679,168.053527,Austronesian
1112,Lenakel (Lonasilian),lena1238,tnl,Papunesia,-19.4763,169.261,Austronesian
1113,Navut (Matae),navu1237,nsw,Papunesia,-15.3169,166.798,Austronesian
1114,Wailapa,wail1242,wlr,Papunesia,-15.5656,166.902,Austronesian
1115,Navut,navu1237,nsw,Papunesia,-15.3169,166.798,Austronesian
1116,"Ambae, East (Wailengi)",east2443,omb,Papunesia,-15.3523,167.89,Austronesian
1117,Tiale,tial1239,mnl,Papunesia,-15.2334,166.842,Austronesian
1118,Butmas-Tur (Tur),butm1237,bnr,Papunesia,-15.3353,167.034,Austronesian
1119,Futuna-Aniwa (Futuna),west2515,fut,Papunesia,,,Austronesian
1120,Namakura (Bongabonga),nama1268,nmk,Papunesia,-16.8979,168.569,Austronesian
1121,Banam Bay (Burmbar),burm1263,vrt,Papunesia,-16.41653,167.73124,Austronesian
1122,Wusi (Mana),wusi1237,wsi,Papunesia,-15.2786,166.696,Austronesian
1123,Löyöp,leha1244,urr,Papunesia,-13.542726,167.343342,Austronesian
1124,"Efate, North (Sesake)",sesa1243,llp,Papunesia,,,Austronesian
1125,Mafea,mafe1237,mkv,Papunesia,-15.4316,167.241,Austronesian
1126,Lamenu (Mate),lewo1242,lww,Papunesia,-16.7612,168.334,Austronesian
1127,Kwamera (Port Resolution),kwam1252,tnk,Papunesia,-19.5954,169.442,Austronesian
1128,Port Vato,port1286,ptv,Papunesia,-16.3083,168.046,Austronesian
1129,Dorig,weta1242,wwo,Papunesia,-14.366666,167.545897,Austronesian
1130,Mwotlap,motl1237,mlv,Papunesia,-13.655015,167.706277,Austronesian
1131,"Ambrym, North (Fonah)",nort2839,mmg,Papunesia,-16.1741,168.14,Austronesian
1132,Wusi (Kerepua),wusi1237,wsi,Papunesia,-15.2786,166.696,Austronesian
1133,Sakao,saka1289,sku,Papunesia,-15.0757,167.051,Austronesian
1134,Wetamut,weta1242,wwo,Papunesia,-14.366666,167.545897,Austronesian
1135,Lamenu (Filakara),lewo1242,lmu,Papunesia,-16.7612,168.334,Austronesian
1136,Lemerig (Bek),leme1238,lrz,Papunesia,-13.739697,167.420676,Austronesian
1137,"Ambae, East (Lolomatui)",east2443,omb,Papunesia,-15.3523,167.89,Austronesian
1138,Valpei,valp1237,vlp,Papunesia,-14.712,166.606,Austronesian
1139,Whitesands (Iarkei),whit1269,tnp,Papunesia,-19.5019,169.381,Austronesian
1140,Neverver,ling1265,lgk,Papunesia,-16.1986,167.499,Austronesian
1141,Ura,urav1235,uur,Papunesia,-18.6747,169.084,Austronesian
1142,"Ambrym, Southeast (Toak)",toak1237,tvk,Papunesia,,,Austronesian
