id,name,glottocode,iso639_3,macroarea,latitude,longitude,family
1216,Ninde (Opmomba),labo1244,mwi,Papunesia,-16.4291,167.442,Austronesian
1217,Ninde (Lawa),labo1244,mwi,Papunesia,-16.4291,167.442,Austronesian
1218,Ninde (Lorlo),labo1244,mwi,Papunesia,-16.4291,167.442,Austronesian
1219,Ninde (Labo),labo1244,mwi,Papunesia,-16.4291,167.442,Austronesian
1220,Ninde (Windua),labo1244,mwi,Papunesia,-16.4291,167.442,Austronesian
1221,Avava (Tisvel),katb1237,tmb,Papunesia,-16.2701,167.484,Austronesian
1222,Avava (Khatbol),katb1237,tmb,Papunesia,-16.2701,167.484,Austronesian
1223,Avava (Timbibi),katb1237,tmb,Papunesia,-16.2701,167.484,Austronesian
1224,Avava (Bangaːsak),katb1237,tmb,Papunesia,-16.2701,167.484,Austronesian
1225,Salang (Dixon Reef),dixo1238,tmb,Papunesia,-16.3267,167.516,Austronesian
1226,Nahavaq (Caroline Bay),sout2857,sns,Papunesia,-16.5116,167.477,Austronesian
1227,Nahavaq (Benour),sout2857,sns,Papunesia,-16.5116,167.477,Austronesian
1228,Nahavaq (Lembinwin),sout2857,sns,Papunesia,-16.5116,167.477,Austronesian
1229,Na:ti (Windua),nati1244,,Papunesia,-16.468709,167.496054,Austronesian
1230,Nombotkote (Usus - Melkin),lete1241,nms,Papunesia,-16.4339,167.566,Austronesian
1231,Nombotkote (Blacksands),lete1241,nms,Papunesia,-16.4339,167.566,Austronesian
1232,Nombotkote (Melaklak (Melkin)),lete1241,nms,Papunesia,-16.4339,167.566,Austronesian
1233,Letemboi (Aingelemolesa),lete1241,nms,Papunesia,-16.4339,167.566,Austronesian
1234,Letemboi (Natingatlang North),lete1241,nms,Papunesia,-16.4339,167.566,Austronesian
1235,Letemboi (Nevatanyene),lete1241,nms,Papunesia,-16.4339,167.566,Austronesian
1236,Letemboi (Newotenyene),lete1241,nms,Papunesia,-16.4339,167.566,Austronesian
1237,Nasarian (Wileven tu),nasa1240,nvh,Papunesia,-16.3497,167.414,Austronesian
1238,Angavae (Dixon Reef),dixo1238,dix,Papunesia,-16.3267,167.516,Austronesian
1239,Novol (Usus - Dixon Reef),lete1241,nms,Papunesia,-16.4339,167.566,Austronesian
1240,Novol (Usus - Dixon Reef),lete1241,nms,Papunesia,-16.4339,167.566,Austronesian
1241,Novol (Usus - Dixon Reef),lete1241,nms,Papunesia,-16.4339,167.566,Austronesian
1242,Novol (Melaklak),lete1241,nms,Papunesia,-16.4339,167.566,Austronesian
1243,Neverver (Lingarak - Mindu),ling1265,lgk,Papunesia,-16.1986,167.499,Austronesian
1244,Neverver (Lingarak - Sakan),ling1265,lgk,Papunesia,-16.1986,167.499,Austronesian
1245,Pangkumu (Ndarmif),rere1240,pgk,Papunesia,-16.2934,167.651,Austronesian
1246,Pangkumu (Datisman),rere1240,pgk,Papunesia,-16.2934,167.651,Austronesian
1247,Unua (Noferai),unua1237,onu,Papunesia,-16.2638,167.599,Austronesian
1248,Unua (Mbatumbo),unua1237,onu,Papunesia,-16.2638,167.599,Austronesian
1249,Neve'ei (Vinmavis),wini1242,vnm,Papunesia,,,Austronesian
1250,Neve'ei (Vinmavis),wini1242,vnm,Papunesia,,,Austronesian
1251,Tesmbol (Usus),aulu1238,aul,Papunesia,-16.3579,167.697,Austronesian
1252,Tesmbol (Melaklak),aulu1238,aul,Papunesia,-16.3579,167.697,Austronesian
1253,Fifti (Khatbol),vivt1234,,Papunesia,-16.28,167.5,Austronesian
1254,Nitita (Khatbol),niti1249,,Papunesia,-16.2,167.46,Austronesian
1255,Tape (Tautu),mara1399,mrs,Papunesia,-16.0695,167.33,Austronesian
1256,Naman (Litzlitz),litz1237,lzl,Papunesia,-16.1331,167.415,Austronesian
1257,Ayta Mag-antsi,maga1263,sgb,Papunesia,15.1954,120.459,Austronesian
1258,Manide,cama1250,abd,Papunesia,14.1571,122.835,Austronesian
1259,Utudnon,bayb1234,bvy,Papunesia,10.6956,124.8086,Austronesian
1260,Inati (Nagpana),atii1237,atk,Papunesia,11.1539,122.512,Austronesian
1261,Umiray Dumaget,umir1236,due,Papunesia,14.8757,121.508,Austronesian
1262,Ayta Abellen,aben1249,abp,Papunesia,15.4131,120.2,Austronesian
1263,Ayta Ambala,amba1267,abc,Papunesia,14.8156,120.283,Austronesian
1264,Ayta Mag-anchi,maga1263,sgb,Papunesia,15.1954,120.459,Austronesian
1265,Bolinao,boli1256,smk,Papunesia,16.3071,119.853,Austronesian
1266,Botolan Sambal,boto1242,sbl,Papunesia,15.2315,120.164,Austronesian
1267,Ayta Mag-indi,magi1241,blx,Papunesia,14.9617,120.182,Austronesian
1268,Sambal,tina1248,xsb,Papunesia,15.5797,120.095,Austronesian
1269,Iraya,iray1237,iry,Papunesia,13.381,120.65,Austronesian
1270,Alangan,alan1249,alj,Papunesia,13.0982,121.022,Austronesian
1271,Tadyawan,tady1237,tdy,Papunesia,13.0211,121.305,Austronesian
1272,Batangan,buhi1245,bku,Papunesia,12.6396,121.21,Austronesian
1273,Buhid,buhi1245,bku,Papunesia,12.6396,121.21,Austronesian
1274,Hanunoo,hanu1241,hnn,Papunesia,12.4159,121.221,Austronesian
1275,Ratagnon,rata1245,btn,Papunesia,12.2785,121.187,Austronesian
1276,Sogodnin (Boracay),atii1237,atk,Papunesia,11.1539,122.512,Austronesian
1277,Sogodnin (Iloilo),atii1237,atk,Papunesia,11.1539,122.512,Austronesian
1278,Malaweg,itaw1240,itv,Papunesia,17.7329,121.58,Austronesian
1279,ßatarxobu (Benut),malu1245,mll,Papunesia,-15.9813,167.208,Austronesian
1280,ßatarxobu (Lipitav),malu1245,mll,Papunesia,-15.9813,167.208,Austronesian
1281,ßatarxobu (Limsak),malu1245,mll,Papunesia,-15.9813,167.208,Austronesian
1282,Aulua (Loxse Lanfitfit),aulu1238,aul,Papunesia,-16.3579,167.697,Austronesian
1283,Maraxus,mara1399,mrs,Papunesia,-16.0695,167.33,Austronesian
1284,Venen Taute (Unmet),bign1238,nmb,Papunesia,-16.0903,167.239,Austronesian
1285,Vao (Torono),vaoo1237,vao,Papunesia,-15.898299,167.309973,Austronesian
1286,"Siviti (Beterbu, Jericho)",malu1245,mll,Papunesia,-15.9813,167.208,Austronesian
1287,Venen Taute (Hamax),bign1238,nmb,Papunesia,-16.0903,167.239,Austronesian
1288,Aulua (Netimb),aulu1238,aul,Papunesia,-16.3579,167.697,Austronesian
1289,Aitchin (Orap),atch1238,upv,Papunesia,,,Austronesian
1290,Malua Bay (Petarmul 1),malu1245,mll,Papunesia,-15.9813,167.208,Austronesian
1291,Tirax (Bakru),maee1241,mme,Papunesia,-15.9914,167.288,Austronesian
1292,Burmbar (Fartavo),burm1263,vrt,Papunesia,-16.41653,167.73124,Austronesian
1293,Nisvai (Blacksands),nisv1234,,Papunesia,-16.41306,167.785556,Austronesian
1294,Uripiv (D'urpif 1),urip1240,upv,Papunesia,,,Austronesian
1295,Alavas-Wowo (Wowo 2),mpot1241,mvt,Papunesia,-15.8988,167.232,Austronesian
1296,Tirax (Olamb),maee1241,mme,Papunesia,-15.9914,167.288,Austronesian
1297,Uripiv (D'urpif 2,urip1240,upv,Papunesia,,,Austronesian
1298,Wala (Botku),wala1267,upv,Papunesia,,,Austronesian
1299,Wala (Worprev A),wala1267,upv,Papunesia,,,Austronesian
1300,Venen Taute (Alpalak),bign1238,nmb,Papunesia,-16.0903,167.239,Austronesian
1301,Rano (Chinambong),wala1267,upv,Papunesia,,,Austronesian
1302,Rano (Small Island),wala1267,upv,Papunesia,,,Austronesian
1303,Rano (Potora),wala1267,upv,Papunesia,,,Austronesian
1304,Vao (Peteri),vaoo1237,vao,Papunesia,-15.898299,167.309973,Austronesian
1305,Alavas 1,mpot1241,mvt,Papunesia,-15.8988,167.232,Austronesian
1306,Uripiv (Potnambwe),urip1240,upv,Papunesia,,,Austronesian
1307,Nese (Matanvat),nese1235,,Papunesia,-15.952608,167.222769,Austronesian
1308,Espiegels' Bay (Shore),malu1245,mll,Papunesia,-15.9813,167.208,Austronesian
1309,ßatarxobu (Gunwar),malu1245,mll,Papunesia,-15.9813,167.208,Austronesian
1310,Siviti (Womol),malu1245,mll,Papunesia,-15.9813,167.208,Austronesian
1311,Espiegel's Bay (Litebral),malu1245,mll,Papunesia,-15.9813,167.208,Austronesian
1312,Malua Bay (Petarmul 2),malu1245,mll,Papunesia,-15.9813,167.208,Austronesian
1313,Najit,malu1245,mll,Papunesia,-15.9813,167.208,Austronesian
1314,Alavas-Wowo (Wowo 1),mpot1241,mvt,Papunesia,-15.8988,167.232,Austronesian
1315,Aitchin (Small Island),atch1238,upv,Papunesia,,,Austronesian
1316,Mbwenelang (Xoli),bwen1239,,Papunesia,-16.338946,167.660849,Austronesian
1317,Tirax (Mae A),maee1241,mme,Papunesia,-15.9914,167.288,Austronesian
1318,Malua Bay (Marasup),malu1245,mll,Papunesia,-15.9813,167.208,Austronesian
1319,Tirax (Mae B),maee1241,mme,Papunesia,-15.9914,167.288,Austronesian
1320,Burmbar,burm1263,vrt,Papunesia,-16.41653,167.73124,Austronesian
1321,Port Sandwich (Lamap 1),port1285,psw,Papunesia,-16.4952,167.78,Austronesian
1322,Alavas 2,mpot1241,mvt,Papunesia,-15.8988,167.232,Austronesian
1323,Malua Bay (TipTir),malu1245,mll,Papunesia,-15.9813,167.208,Austronesian
1324,Aulua (Loxse Asolokh),aulu1238,aul,Papunesia,-16.3579,167.697,Austronesian
1325,Wala (Worprev B),wala1267,upv,Papunesia,,,Austronesian
1326,Port Sandwich (Lamap 2),port1285,psw,Papunesia,-16.4952,167.78,Austronesian
1327,Vao (Beetehul),vaoo1237,vao,Papunesia,-15.898299,167.309973,Austronesian
1328,Paiwan (Tjatjigel Egli),paiw1248,pwn,Papunesia,22.3271,120.806,Austronesian
1329,Mato (Ramuk dialect),mato1252,met,Papunesia,-5.91639,146.859,Austronesian
1330,Mangap-Mbula,mbul1263,mna,Papunesia,-5.66965,148.041,Austronesian
1331,Dobel (Koijabi dialect),dobe1238,kvo,Papunesia,-6.32531,134.638,Austronesian
1332,Kola,kola1285,kvv,Papunesia,-5.48833,134.592,Austronesian
1333,Tami,tami1290,tmy,Papunesia,-6.70017,147.732,Austronesian
1334,Mumeng (Patep dialect),pate1247,ptp,Papunesia,-6.91988,146.639,Austronesian
1335,Mangseng,mang1403,mbh,Papunesia,-5.89752,150.68,Austronesian
1336,Bariai,bari1286,bch,Papunesia,-5.5087,148.666,Austronesian
1337,Wogeo,woge1237,woc,Papunesia,-3.20238,144.089,Austronesian
1338,Batuley,batu1258,bay,Papunesia,-5.814412,134.784314,Austronesian
1339,Ujir (Schapper),ujir1237,udj,Papunesia,-5.69329,134.257,Austronesian
1340,Label,labe1239,lbb,Papunesia,-4.46971,152.678,Austronesian
1341,Ramoaaina,ramo1244,rai,Papunesia,-4.17306,152.451,Austronesian
1342,Sursurunga,surs1246,sgz,Papunesia,-3.99078,152.768,Austronesian
1343,Malalamai,mala1489,mmt,Papunesia,-5.77495,146.642,Austronesian
1344,Ham,mari1428,dad,Papunesia,-5.349,145.59,Austronesian
1345,Siŋorakai,sing1268,mqz,Papunesia,,,Austronesian
1346,Wab,wabb1237,wab,Papunesia,-5.61216,146.461,Austronesian
1347,Biliau,awad1244,bcu,Papunesia,-5.59896,146.355,Austronesian
1348,Roinji,ronj1237,roe,Papunesia,-5.80782,146.731,Austronesian
1349,Bali-Vitu,unea1237,bbn,Papunesia,-4.89383,149.141,Austronesian
1350,Nenaya,nana1258,met,Papunesia,,,Austronesian
1351,Takia,taki1248,tbc,Papunesia,-4.69057,145.975,Austronesian
1352,Kumokio,kumu1247,kuo,Papunesia,-6.03128,147.411,Nuclear Trans New Guinea
1353,Mindiri,mind1255,mpn,Papunesia,-5.5,146.15,Austronesian
1354,Sialum,sial1240,slw,Papunesia,-6.07688,147.574,Nuclear Trans New Guinea
1355,Sio,sioo1240,xsi,Papunesia,-5.96037,147.353,Austronesian
1356,Malasanga,mala1487,mqz,Papunesia,-5.9401,147.058,Austronesian
1357,Kinalakna,kina1251,kco,Papunesia,-6.05862,147.442,Nuclear Trans New Guinea
1358,Mutu,mutu1242,tuc,Papunesia,-5.79405,148.014,Austronesian
1359,Gitua,gitu1237,ggt,Papunesia,-6.0151,147.485,Austronesian
1360,Arop,arop1242,aps,Papunesia,-3.06984,142.12,Austronesian
1361,Bebeli,bebe1252,bek,Papunesia,-5.63282,150.323,Austronesian
1362,Dadu'a,dadu1237,gal,Papunesia,-8.486,125.8637,Austronesian
1363,Fordata,ford1242,frd,Papunesia,-7.28902,131.511,Austronesian
1364,Irarutu,irar1238,irh,Papunesia,-2.94438,133.586,Austronesian
1365,Naueti,naue1237,nxa,Papunesia,-8.70733,126.741,Austronesian
1366,Tetun Fehan,tetu1245,tet,Papunesia,-9.11217,125.528,Austronesian
1367,Tokodede,tuku1254,tkd,Papunesia,-8.6788,125.283,Austronesian
1368,Waima'a,waim1252,wmh,Papunesia,-8.53416,126.317,Austronesian
1369,Drubea,dumb1241,duf,Papunesia,-22.0947,166.531,Austronesian
1370,Novol (Bangir),lete1241,nms,Papunesia,-16.4339,167.566,Austronesian
1371,Kaniet,kani1282,ktk,Papunesia,-1.51777,145.086,Austronesian
1372,Ninigo,seim1238,ssg,Papunesia,-1.2666667,144.25,Austronesian
1373,Awa,auaa1241,wuv,Papunesia,,,Austronesian
1374,Sori,sori1242,sbh,Papunesia,-1.98384,146.642,Austronesian
1375,Lup,herm1237,llf,Papunesia,-1.52891,145.075,Austronesian
1376,Njada,nyin1250,lid,Papunesia,-2.1143,146.627,Austronesian
1377,Ponam,pona1250,ncc,Papunesia,-1.91705,146.887,Austronesian
1378,Andra,andr1248,anx,Papunesia,-2.05894,147.085,Austronesian
1379,Hus,andr1248,anx,Papunesia,-2.05894,147.085,Austronesian
1380,Jiriw,nali1245,nss,Papunesia,-2.14273,147.202,Austronesian
1381,Pitilu,leip1237,lek,Papunesia,-1.9665,147.226,Austronesian
1382,Bujan,kele1258,sbc,Papunesia,-2.09163,147.064,Austronesian
1383,Mokaren,moke1240,mft,Papunesia,-2.01602,147.423,Austronesian
1384,Bipi,bipi1237,biq,Papunesia,-2.11115,146.398,Austronesian
1385,Lebei,kheh1237,tlx,Papunesia,-2.06626,146.746,Austronesian
1386,Tulu,tulu1259,rak,Papunesia,-2.14155,146.934,Austronesian
1387,Pak,pakt1239,pkg,Papunesia,-2.05269,147.767,Austronesian
1388,Mbunai,tita1241,ttv,Papunesia,-2.18168,146.888,Austronesian
1389,Baluan,balu1257,blq,Papunesia,-2.5604,147.282,Austronesian
1390,Musau,muss1248,emi,Papunesia,,,Austronesian
1391,Avau,avau1237,avb,Papunesia,-6.24342,150.427,Austronesian
1392,Hote (Misim dialect),hote1245,hot,Papunesia,-7.07708,146.869,Austronesian
1393,Nyindrou,nyin1250,lid,Papunesia,-2.1143,146.627,Austronesian
1394,Sissano (Arop dialect),siss1243,sso,Papunesia,-3.01976,142.049,Austronesian
1395,Akolet,akol1237,akt,Papunesia,-6.22711,150.182,Austronesian
1396,Na'ahai (Mbatvanui) 162-85,malf1237,mlx,Papunesia,-16.5499,167.509,Austronesian
1397,Natangan (Mbonvor) 162-86,lete1241,nms,Papunesia,-16.4339,167.566,Austronesian
1398,Axamb (Small Island-Brisbane) 162-89,axam1237,ahb,Papunesia,-16.4838,167.707,Austronesian
1399,Na'ahai (Mbatambang) 162-83,malf1237,mlx,Papunesia,-16.5499,167.509,Austronesian
1400,Avok (Hokai) 162-98,avok1244,,Papunesia,-16.536653,167.773866,Austronesian
1401,Mandri (Farun) 162-91,nasv1234,,Papunesia,-16.458173,167.639563,Austronesian
1402,Na'axai (Malfaxal) 162-84,malf1237,mlx,Papunesia,-16.5499,167.509,Austronesian
1403,Uliveo (Palongk) 162-104,mask1242,klv,Papunesia,-16.5073,167.818,Austronesian
1404,Nasvang (Farun) 162-93,nasv1234,,Papunesia,-16.458173,167.639563,Austronesian
1405,Natangan (Farun) 162-95b,lete1241,nms,Papunesia,-16.4339,167.566,Austronesian
1406,Na'ahai (Toman Island) 162-82,malf1237,mlx,Papunesia,-16.5499,167.509,Austronesian
1407,Avok (Shiaf),avok1244,,Papunesia,-16.536653,167.773866,Austronesian
1408,Nasvang (Farun) 162-90,nasv1234,,Papunesia,-16.458173,167.639563,Austronesian
1409,Avok (Hokai) 162-97a,avok1244,,Papunesia,-16.536653,167.773866,Austronesian
1410,Axamb (Small Island-Maliambur) 162-88,axam1237,ahb,Papunesia,-16.4838,167.707,Austronesian
1411,Navwien 162-87,navw1234,,Papunesia,-16.502947,167.554419,Austronesian
1412,Uliveo (Lurtes) 162-107,mask1242,klv,Papunesia,-16.5073,167.818,Austronesian
1413,Axamb (Farun) 162-94,axam1237,ahb,Papunesia,-16.4838,167.707,Austronesian
1414,Uliveo (Pescaros) 162-106,mask1242,klv,Papunesia,-16.5073,167.818,Austronesian
1415,Mandri (Faru) 162-100,axam1237,ahb,Papunesia,-16.4838,167.707,Austronesian
1416,Nasvang (Farun - children) 162-96,nasv1234,,Papunesia,-16.458173,167.639563,Austronesian
1417,Uliveo (Palongk) 162-103,mask1242,klv,Papunesia,-16.5073,167.818,Austronesian
1418,Avok (Avok) 162-101,avok1244,,Papunesia,-16.536653,167.773866,Austronesian
1419,Uliveo (Peskaros) 162-105,mask1242,klv,Papunesia,-16.5073,167.818,Austronesian
1420,Nasvang (Farun) 162-95a,nasv1234,,Papunesia,-16.458173,167.639563,Austronesian
1421,Avok (Avok) 162-99,avok1244,,Papunesia,-16.536653,167.773866,Austronesian
1422,Eastern Ngad'a,east2464,nea,Papunesia,-8.82745,121.121,Austronesian
1423,Anuki,anuk1239,aui,Papunesia,-9.6692,149.822,Austronesian
1424,Sinaugoro (Balawaia Dialect),bala1307,snc,Papunesia,,,Austronesian
1425,Buhutu,buhu1237,bxh,Papunesia,-10.5074,150.18,Austronesian
1426,Bunama,buna1276,bdd,Papunesia,-10.0761,151.066,Austronesian
1427,Bwaidoga,bwai1243,bwd,Papunesia,,,Austronesian
1428,Dawawa,dawa1242,dww,Papunesia,-10.1692,149.999,Austronesian
1429,Dobu,dobu1241,dob,Papunesia,-9.63239,150.825,Austronesian
1430,"Mekeo, East",east2455,mek,Papunesia,,,Austronesian
1431,Gapapaiwa,gapa1238,pwg,Papunesia,-9.73317,149.854,Austronesian
1432,Ghayavi,ghay1237,bmk,Papunesia,-10.011,149.84,Austronesian
1433,Gumawana,guma1254,gvs,Papunesia,-9.28497,150.762,Austronesian
1434,Hula,hula1239,hul,Papunesia,-9.99427,147.705,Austronesian
1435,Iamalele,iama1237,yml,Papunesia,-9.45005,150.573,Austronesian
1436,Iduna,idun1242,viv,Papunesia,-9.34361,150.24,Austronesian
1437,Kilivila,kili1267,kij,Papunesia,-8.72574,151.072,Austronesian
1438,Koluwawa,kolu1245,klx,Papunesia,-9.42742,150.462,Austronesian
1439,Lala,lala1268,nrz,Papunesia,-8.93195,146.749,Austronesian
1440,Maisin,mais1250,mbq,Papunesia,-9.22853,148.731,Austronesian
1441,Minaveha,mina1269,mvn,Papunesia,-9.59922,150.501,Austronesian
1442,Misima,misi1243,mpx,Papunesia,-10.6821,152.696,Austronesian
1443,Molima,moli1248,mox,Papunesia,-9.57457,150.614,Austronesian
1444,Motu,motu1246,meu,Papunesia,-9.67492,147.424,Austronesian
1445,Muyuw,muyu1244,myw,Papunesia,-9.195,152.731,Austronesian
1446,"Mekeo, North-West",nort2851,mek,Papunesia,,,Austronesian
1447,Proto Central Papuan,cent2070,,,,,Austronesian
1448,Proto North Mainland/D'Entrecasteaux,nort2848,,,,,Austronesian
1449,Proto Papuan Tip,papu1253,,,,,Austronesian
1450,Proto Suauic,suau1243,,,,,Austronesian
1451,Roro,waim1251,rro,Papunesia,-8.67145,146.544,Austronesian
1452,Saliba,sali1295,sbe,Papunesia,-10.6148,150.727,Austronesian
1453,Sinaugoro (Saroa Dialect),saro1238,snc,Papunesia,,,Austronesian
1454,Sewa,sewa1251,sew,Papunesia,-10.0277,150.956,Austronesian
1455,Suau,suau1242,swp,Papunesia,-10.6606,150.21,Austronesian
1456,Sudest,sude1239,tgo,Papunesia,-11.5229,153.488,Austronesian
1457,Tawala,tawa1275,tbo,Papunesia,-10.3115,150.644,Austronesian
1458,Tubetube,bwan1241,tte,Papunesia,-10.6599,151.034,Austronesian
1459,Wedau,weda1241,wed,Papunesia,-10.1246,150.172,Austronesian
1460,'Auhelawa,auhe1237,kud,Papunesia,-10.0959,151.002,Austronesian
1461,'Oyaoya,oyao1237,oyy,Papunesia,-10.5392,150.658,Austronesian
1462,Roon,roon1237,rnn,Papunesia,-2.43005,134.556,Austronesian
1463,Isinay (Dupax),isin1239,inn,Papunesia,16.3299,121.12,Austronesian
1464,Proto-Subanen,suba1253,,,,,Austronesian
1465,Proto-Manobo,mano1276,,,,,Austronesian
1466,Proto-Sama-Bajaw,sama1302,,,,,Austronesian
1467,Mindoro Tagalog,taga1270,tgl,Papunesia,14.06,121.747,Austronesian
1468,Proto North Sarawak,nort3171,,,,,Austronesian
1469,Proto Kenyah,keny1280,,,,,Austronesian
1470,Lebo' Vo',main1275,xkl,Papunesia,3.42975,116.47431,Austronesian
1471,Uma' Pawe,waha1238,whk,Papunesia,1.56635,116.655,Austronesian
1472,Lepo' Gah,main1275,xkl,Papunesia,3.42975,116.47431,Austronesian
1473,Lepo' Laang,main1275,xkl,Papunesia,3.42975,116.47431,Austronesian
1474,Lepo' Sawa,main1275,xkl,Papunesia,3.42975,116.47431,Austronesian
1475,Lepo' Tau,main1275,xkl,Papunesia,3.42975,116.47431,Austronesian
1476,Badeng,main1275,xkl,Papunesia,3.42975,116.47431,Austronesian
1477,Ngorek,ngor1244,mxr,Papunesia,,,Austronesian
1478,Kayan,bara1370,kys,Papunesia,3.51211,114.482,Austronesian
1479,Paicî,paic1239,pri,Papunesia,-21.096,165.15,Austronesian
1480,Nyelâyu (Belep Dialect),nyal1254,yly,Papunesia,-19.72,163.66,Austronesian
1481,Ansus,ansu1237,and,Papunesia,-1.7543,135.866,Austronesian
1482,Ajiø,ajie1238,aji,Papunesia,-21.3029,165.468,Austronesian
1483,Anesù,xara1244,ane,Papunesia,-21.7034,165.996,Austronesian
1484,Aro,arho1237,aok,Papunesia,-21.3183,165.161,Austronesian
1485,Arʃa,arha1237,aqr,Papunesia,-21.2866,165.273,Austronesian
1486,Iai,iaai1238,iai,Papunesia,-20.6301,166.59,Austronesian
1487,ⁿDuᵐbea,dumb1241,duf,Papunesia,-22.0947,166.531,Austronesian
1488,Jawe,jawe1237,jaz,Papunesia,-20.6648,164.676,Austronesian
1489,Kapone,nume1242,kdk,Papunesia,-22.2689,166.705,Austronesian
1490,Koumac,nene1250,nee,Papunesia,,,Austronesian
1491,Moeneᵐbeŋ,caac1237,msq,Papunesia,-20.4114,164.578,Austronesian
1492,Neku,neku1237,nek,Papunesia,-21.6524,165.578,Austronesian
1493,Nenema,nene1250,nee,Papunesia,,,Austronesian
1494,Neŋone,neng1238,nen,Papunesia,-21.5305,167.964,Austronesian
1495,Nɛmi,nemi1240,nem,Papunesia,-20.6791,164.797,Austronesian
1496,Pat̪i,paic1239,pri,Papunesia,-21.096,165.15,Austronesian
1497,Pinje,pije1237,piz,Papunesia,-20.7824,164.942,Austronesian
1498,Poai,fwai1237,fwa,Papunesia,-20.6873,164.901,Austronesian
1499,Poamei,pwaa1237,pme,Papunesia,-20.8442,164.77,Austronesian
1500,Poapoã,pwap1237,pop,Papunesia,-20.8133,164.556,Austronesian
1501,Sirehë,zire1240,sih,Papunesia,-21.6544,165.482,Austronesian
1502,Wamoaŋ,waam1236,wmn,Papunesia,-20.5014,164.409,Austronesian
1503,camuki,cemu1238,cam,Papunesia,-20.8489,165.13,Austronesian
1504,Ciri,tiri1258,cir,Papunesia,-21.8147,165.792,Austronesian
1505,ɲua,yuag1237,nua,Papunesia,-20.5664,164.51,Austronesian
1506,ʝalasu,bala1316,,Papunesia,-20.25,164.2,Austronesian
1507,ʰMoaekɛ,vama1243,mkt,Papunesia,-20.7708,165.04,Austronesian
1508,ʰMoavekɛ,hmwa1243,mrk,Papunesia,-20.9246,164.768,Austronesian
1509,ᵐBelep,nyal1254,yly,Papunesia,-19.72,163.66,Austronesian
1510,ᵐBonⁿde,yuag1237,nua,Papunesia,-20.5664,164.51,Austronesian
1511,ᵐBoewe,orow1242,bpk,Papunesia,-21.6269,165.473,Austronesian
1512,‘Aragùrɛ,xara1243,axx,Papunesia,-21.8223,166.376,Austronesian
1513,’Aekɛ,haek1239,aek,Papunesia,-21.0735,164.869,Austronesian
1514,’Avekɛ,have1241,hvk,Papunesia,-21.0249,164.753,Austronesian
1515,ⁿDe’u,dehu1237,dhv,Papunesia,-20.8892,167.229,Austronesian
1516,Siraya A,sira1267,fos,Papunesia,22.9777,120.315,Austronesian
1517,Siraya UM (Utrecht Manuscript) dialect,sira1267,fos,Papunesia,22.9777,120.315,Austronesian
1518,Proto Siraya,sira1267,fos,Papunesia,22.9777,120.315,Austronesian
1519,Siraya Gospel dialect,sira1267,fos,Papunesia,22.9777,120.315,Austronesian
1520,Kaisabu,kaes1237,cia,Papunesia,,,Austronesian
1521,Kumbewaha,kumb1274,xks,Papunesia,-5.34485,123.154,Austronesian
1522,Lasalimu,lasa1237,llm,Papunesia,-5.23602,123.129,Austronesian
1523,Wakole dialect of Kumbewaha,kumb1274,xks,Papunesia,-5.34485,123.154,Austronesian
1524,Wasambua dialect of Cia-Cia,ciac1237,cia,Papunesia,-5.68289,122.791,Austronesian
1525,Wolowa dialect of Kumbewaha,kumb1274,xks,Papunesia,-5.34485,123.154,Austronesian
1526,Proto Malagasy,mala1537,mlg,,,,Austronesian
1527,Bwatoo,bwat1240,bwa,Papunesia,-21.3777,165.076,Austronesian
1528,Pwapwâ - mBoyen,pwap1237,pop,Papunesia,-20.8133,164.556,Austronesian
1529,Haeke,haek1239,aek,Papunesia,-21.0735,164.869,Austronesian
1530,Haveke,have1241,hvk,Papunesia,-21.0249,164.753,Austronesian
1531,Caac,caac1237,msq,Papunesia,-20.4114,164.578,Austronesian
1532,Javanese (Yogyakarta),java1254,jav,Papunesia,-7.001,109.287,Austronesian
1533,Tengger (Ngadas),teng1272,tes,Papunesia,-7.89069,113.037,Austronesian
1534,Javanese (Malang),java1254,jav,Papunesia,-7.001,109.287,Austronesian
1535,Old/Middle Javanese,java1254,jav,Papunesia,-7.001,109.287,Austronesian
1536,Jizhao (Li & Wu 2017),jizh1234,,Eurasia,21.388,110.868,Tai-Kadai
1537,"Jizhao (Shao 2016, Shao & Meng 2016)",jizh1234,,Eurasia,21.388,110.868,Tai-Kadai
1538,Jizhao (Zhang 1992),jizh1234,,Eurasia,21.388,110.868,Tai-Kadai
1539,Tobati,toba1266,tti,Papunesia,-2.56434,140.71,Austronesian
1540,Ifo (Utaha),ifoo1237,iff,Papunesia,-18.7668,169.007,Austronesian
1541,Raga,hano1246,lml,Papunesia,-15.5432,168.167,Austronesian
1542,Sa (Ha),saaa1241,apb,Papunesia,-15.9534,168.228,Austronesian
1543,Sa (F Yantas),saaa1241,apb,Papunesia,-15.9534,168.228,Austronesian
1544,Sa (Bunlap),saaa1241,apb,Papunesia,-15.9534,168.228,Austronesian
1545,Lolkasai,hano1246,lml,Papunesia,-15.5432,168.167,Austronesian
1546,Proto-Danaw,dana1253,,,,,Austronesian
1547,Bulalakawnon,bula1256,loc,Papunesia,,,Austronesian
1548,Inonhan (Dispoholnon),disp1238,loc,Papunesia,,,Austronesian
1549,Kamayo,kama1363,kyk,Papunesia,8.10796,126.314,Austronesian
